OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtQual,BsmtExposure,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,SalePrice,MSZoning_NaN,Neighborhood_NridgHt,Exterior1st_NaN,Exterior2nd_NaN,MasVnrType_None,Foundation_PConc,GarageType_Detchd,GarageFinish_Fin,GarageFinish_Unf,SaleType_NaN,SaleType_New,SaleCondition_Partial
7,2003,2003,196.0,3.0,3.0,3.0,706.0,856.0,4.0,856,1710,2,3.0,8,0,2.0,548.0,208500.0,0,0,0,0,0,1,0,0,0,0,0,0
6,1976,1976,0.0,2.0,3.0,0.0,978.0,1262.0,4.0,1262,1262,2,2.0,6,1,2.0,460.0,181500.0,0,0,0,0,1,0,0,0,0,0,0,0
7,2001,2002,162.0,3.0,3.0,2.0,486.0,920.0,4.0,920,1786,2,3.0,6,1,2.0,608.0,223500.0,0,0,0,0,0,1,0,0,0,0,0,0
7,1915,1970,0.0,2.0,2.0,3.0,216.0,756.0,3.0,961,1717,1,3.0,7,1,3.0,642.0,140000.0,0,0,0,0,1,0,1,0,1,0,0,0
8,2000,2000,350.0,3.0,3.0,1.0,655.0,1145.0,4.0,1145,2198,2,3.0,9,1,3.0,836.0,250000.0,0,0,0,0,0,1,0,0,0,0,0,0
5,1993,1995,0.0,2.0,3.0,3.0,732.0,796.0,4.0,796,1362,1,2.0,5,0,2.0,480.0,143000.0,0,0,0,0,1,0,0,0,1,0,0,0
8,2004,2005,186.0,3.0,4.0,1.0,1369.0,1686.0,4.0,1694,1694,2,3.0,7,1,2.0,636.0,307000.0,0,0,0,0,0,1,0,0,0,0,0,0
7,1973,1973,240.0,2.0,3.0,2.0,859.0,1107.0,4.0,1107,2090,2,2.0,7,2,2.0,484.0,200000.0,0,0,0,0,0,0,0,0,0,0,0,0
7,1931,1950,0.0,2.0,2.0,3.0,0.0,952.0,3.0,1022,1774,2,2.0,8,2,2.0,468.0,129900.0,0,0,0,0,1,0,1,0,1,0,0,0
5,1939,1950,0.0,2.0,2.0,3.0,851.0,991.0,4.0,1077,1077,1,2.0,5,2,1.0,205.0,118000.0,0,0,0,0,1,0,0,0,0,0,0,0
